#SampleID	 BarcodeSequence 	LinkerPrimerSequence	Sample_ID	Pen_ID	Trt	Pig_ID	Gender	Sample_type	Species	Inoc_ID	Diet	Inoc_ID_and_Diet	Average_Fecal_Score_Post_challenge	Necropsy_Colonization	Ileal_Histopath_attachment	Description
ileal43			I27	27	Y	549	G	Ileal digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 1.57 	-	-	43
ileal44			I28	28	Y	437	B	Ileal digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 3.43 	+	-	44
ileal45			I34	34	Y	944	G	Ileal digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 1.86 	+	-	45
ileal46			I44	44	Y	945	G	Ileal digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 2.43 	+	+	46
ileal47			I45	45	Y	421	B	Ileal digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 3.14 	+	+	47
ileal48			I48	48	Y	475	G	Ileal digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 3.00 	-	+	48
ileal49			I49	49	Y	452	B	Ileal digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 1.57 	-	+	49
ileal51			I13	13	Z	497	G	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 1.57 	+	-	51
ileal52			I14	14	Z	453	B	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 3.14 	+	+	52
ileal53			I21	21	Z	477	G	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 2.71 	+	+	53
ileal54			I22	22	Z	460	B	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 1.00 	-	-	54
ileal55			I35	35	Z	946	G	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 1.43 	-	-	55
ileal56			I42	42	Z	498	G	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 3.29 	+	+	56
ileal57			I43	43	Z	443	B	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 2.86 	+	+	57
ileal58			I54	54	Z	544	G	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 2.57 	-	-	58
ileal59			I55	55	Z	422	B	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 2.43 	+	+	59
ileal60			I59	59	Z	436	B	Ileal digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 1.43 	+	+	60
colonic61			C1	1	U	949	G	Colonic digesta	Porcine	Control	Basal	Control-Basal	 1.43 	-	-	61
colonic62			C2	2	U	541	G	Colonic digesta	Porcine	Control	Basal	Control-Basal	 1.29 	-	-	62
colonic63			C3	3	U	550	G	Colonic digesta	Porcine	Control	Basal	Control-Basal	 2.00 	-	-	63
colonic64			C4	4	U	500	G	Colonic digesta	Porcine	Control	Basal	Control-Basal	 1.14 	-	-	64
colonic65			C5	5	U	486	G	Colonic digesta	Porcine	Control	Basal	Control-Basal	 2.00 	-	-	65
colonic66			C6	6	U	463	B	Colonic digesta	Porcine	Control	Basal	Control-Basal	 1.29 	-	-	66
colonic67			C7	7	U	467	B	Colonic digesta	Porcine	Control	Basal	Control-Basal	 1.14 	-	-	67
colonic68			C8	8	U	442	B	Colonic digesta	Porcine	Control	Basal	Control-Basal	 1.29 	-	-	68
colonic69			C9	9	U	420	B	Colonic digesta	Porcine	Control	Basal	Control-Basal	 1.00 	-	-	69
colonic70			C10	10	U	423	B	Colonic digesta	Porcine	Control	Basal	Control-Basal	 1.00 	-	-	70
colonic71			C11	11	U1	950	G	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 3.43 	+	+	71
colonic72			C12	12	U1	466	B	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 2.57 	+	-	72
colonic73			C25	25	U1	483	G	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 1.00 	-	+	73
colonic74			C26	26	U1	425	B	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 1.00 	-	-	74
colonic75			C33	33	U1	947	G	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 2.14 	+	+	75
colonic76			C40	40	U1	543	G	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 3.00 	+	-	76
colonic77			C41	41	U1	462	B	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 2.71 	+	+	77
colonic78			C46	46	U1	489	G	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 1.14 	-	+	78
colonic79			C47	47	U1	444	B	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 2.86 	+	+	79
colonic80			C56	56	U1	458	B	Colonic digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 1.00 	+	-	80
colonic81			C19	19	W	495	G	Colonic digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 3.29 	-	-	81
colonic84			C24	24	W	471	B	Colonic digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 2.00 	+	-	84
colonic85			C31	31	W	480	G	Colonic digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 1.00 	-	-	85
colonic86			C36	36	W	481	G	Colonic digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 2.14 	-	-	86
colonic87			C37	37	W	468	B	Colonic digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 1.71 	+	+	87
colonic88			C52	52	W	491	G	Colonic digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 2.29 	+	-	88
colonic89			C53	53	W	474	B	Colonic digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 1.86 	+	-	89
colonic90			C58	58	W	455	B	Colonic digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 2.71 	+	-	90
colonic91			C15	15	X	450	B	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 2.71 	+	-	91
colonic92			C16	16	X	487	G	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.86 	+	-	92
colonic93			C29	29	X	547	G	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.43 	+	+	93
colonic94			C30	30	X	465	B	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 2.00 	+	+	94
colonic95			C32	32	X	478	G	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 3.00 	+	-	95
colonic96			C38	38	X	482	G	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.71 	-	+	96
colonic97			C39	39	X	473	B	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.14 	+	+	97
colonic98			C50	50	X	494	G	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.29 	+	-	98
colonic99			C51	51	X	454	B	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.14 	+	+	99
colonic100			C60	60	X	447	B	Colonic digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 2.43 	+	-	100
colonic101			C17	17	Y	492	G	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 3.14 	+	-	101
colonic102			C18	18	Y	441	B	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 3.14 	-	+	102
colonic103			C27	27	Y	549	G	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 1.57 	-	-	103
colonic104			C28	28	Y	437	B	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 3.43 	+	-	104
colonic105			C34	34	Y	944	G	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 1.86 	+	-	105
colonic106			C44	44	Y	945	G	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 2.43 	+	+	106
colonic107			C45	45	Y	421	B	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 3.14 	+	+	107
